config,accuracy_mean,accuracy_std,effective_rank_mean,effective_rank_std,top5_coverage_mean,top5_coverage_std,top10_coverage_mean,top10_coverage_std,decay_rate_mean,decay_rate_std
full,0.8606200098991394,0.0003420605960530567,20.201161193847657,0.17334587224363215,0.40348610281944275,0.0026264667838735577,0.6207002997398376,0.003155579767590387,0.8437419533729553,0.022750427953537072
noise,0.8675600051879883,0.00046152026288474635,87.47173614501953,0.8267938567980703,0.1465995728969574,0.0006205093288932818,0.2443907767534256,0.0012798652817721371,0.8235107660293579,0.032586808822814575
none,0.8849600195884705,0.0007334830281766317,47.19747619628906,0.9325556781802736,0.2472139060497284,0.004462428864497147,0.38618806600570676,0.004860837970976393,0.8008419513702393,0.02377162241438334
wd,0.8730800032615662,0.0007726633089864298,11.750886154174804,0.48259355799206416,0.5761763215065002,0.013907753597252069,0.7865101933479309,0.009911752288948077,0.7569870471954345,0.017836338628997465
