config,accuracy_mean,accuracy_std,effective_rank_mean,effective_rank_std,top5_coverage_mean,top5_coverage_std,top10_coverage_mean,top10_coverage_std,decay_rate_mean,decay_rate_std
full,0.8603599667549133,0.0004560687419423372,20.059102249145507,0.35084861119995936,0.4061598479747772,0.005966919272213041,0.6229448199272156,0.006633630773678324,0.8470366716384887,0.030129115920976817
noise,0.86801997423172,0.00043243436094485467,87.7002685546875,0.7729662701894172,0.14631233215332032,0.0016446868315258348,0.24407100975513457,0.0024646559662212116,0.8241899609565735,0.0272507826292772
none,0.8849599599838257,0.0007334830281766317,47.198020935058594,0.9325463857483556,0.24721181094646455,0.004462343249011882,0.3861853897571564,0.004860654341059814,0.8008432388305664,0.02376878762663402
wd,0.8730799794197083,0.000772647109107518,11.751018142700195,0.4825809766945454,0.576172161102295,0.013907266550817922,0.7865073323249817,0.009911595311687303,0.7569847106933594,0.017840034908633437
