config,accuracy_mean,accuracy_std,effective_rank_mean,effective_rank_std,top5_coverage_mean,top5_coverage_std,top10_coverage_mean,top10_coverage_std,decay_rate_mean,decay_rate_std
full,0.9800599694252015,0.00043931932345730643,26.043045043945312,0.343693382844256,0.31578410267829893,0.0035608933963050594,0.5310834288597107,0.005459611283203862,0.8476058125495911,0.0063050134517392414
noise,0.9834199666976928,0.000420717613723901,82.17704620361329,0.4661810733154925,0.13994221687316893,0.0015572588906963428,0.24874406456947326,0.0019441563583404199,0.8726799130439759,0.006520478046917437
none,0.9748599767684937,0.0005983411406309237,38.496768951416016,0.7351274069556089,0.27677372097969055,0.004248987393289202,0.44203630089759827,0.004225003123435123,0.8418220996856689,0.03503688267797826
wd,0.9749199748039246,0.00045496811014018277,15.498868942260742,0.32885223586564283,0.47426305413246156,0.00617726119227587,0.7220512986183166,0.005977946761706406,0.8048346519470215,0.03379664440411802
