config,accuracy_mean,accuracy_std,effective_rank_mean,effective_rank_std,top5_coverage_mean,top5_coverage_std,top10_coverage_mean,top10_coverage_std,decay_rate_mean,decay_rate_std
full,0.9620399951934815,0.04027286207819072,42.15900573730469,36.124378908859626,0.27794736325740815,0.08382251582904099,0.4618105202913284,0.15478138474729994,0.8553470373153687,0.014910347234213592
noise,0.983519995212555,0.0002489926324257792,82.30450897216797,0.5292043692393941,0.13963924646377562,0.0014008108561435445,0.24800193905830384,0.0017968010923945375,0.8771575212478637,0.010464129285720547
none,0.9748600006103516,0.0005983381522265863,38.49621353149414,0.735132131512422,0.2767764747142792,0.004249101453865272,0.4420400857925415,0.004225115945415691,0.8418225526809693,0.035036171514968795
wd,0.9749199748039246,0.00045496811014018277,15.498711013793946,0.32883408623074556,0.4742665708065033,0.0061768301100424096,0.7220547318458557,0.0059775945320813175,0.8048337221145629,0.033796062755543595
