digit,similarity_mean,similarity_std,rank
0,0.6058530926704406,0.030459777401340652,1
1,0.41055161952972413,0.012434345897768545,2
8,0.408907425403595,0.018769982373621232,3
6,0.38333106637001035,0.012170995746671236,4
9,0.3719353795051575,0.008116263319679783,5
7,0.370071667432785,0.006986706854991356,6
4,0.3680887758731842,0.01880957231955216,7
2,0.36797680854797366,0.012787820124005147,8
5,0.3662070095539093,0.016577326902062466,9
3,0.3476671278476715,0.013409934427412383,10
