rank,init_mode,acc_mean,acc_std,eff_rank_mean,eff_rank_std
8,fixed,0.8795799970626831,0.0050795761545263446,3.230559301376343,0.13824978225811094
8,gated,0.913699996471405,0.0024072684483819515,5.975151062011719,0.48045484701308955
8,lambda,0.9184199929237366,0.005791979215083001,6.327208518981934,0.2765181284102522
16,fixed,0.8982599973678589,0.004341986941660153,3.28151478767395,0.1562705806812802
16,gated,0.9241599798202514,0.0026244946423941836,7.3473528861999515,0.35933066469784725
16,lambda,0.9250800132751464,0.0016843482397906387,7.105761432647705,0.4587932179428301
32,fixed,0.9062799930572509,0.002284090809454801,3.418674278259277,0.21760144621902142
32,gated,0.927239990234375,0.001969254782568416,8.760050582885743,0.4651897609873712
32,lambda,0.9266999959945679,0.0014781819307401582,9.071013259887696,0.4370990609561791
64,fixed,0.9105000019073486,0.0013397704187139924,3.4454489231109617,0.11713519470655306
64,gated,0.930460000038147,0.001171754765696151,11.687727165222167,0.3452230919825586
64,lambda,0.9303799986839294,0.0010207735563798523,11.571103286743163,0.5162539176915946
128,fixed,0.9148199915885925,0.002210651438759969,3.6529539585113526,0.054174439302400165
128,gated,0.9330999970436096,0.001437013854177536,14.83108901977539,0.1597606028794738
128,lambda,0.9333800077438354,0.0011166961671213666,14.919353485107422,0.48971870697086456
256,fixed,0.9188600063323975,0.0009289636629917392,3.7439951419830324,0.07240869508162448
256,gated,0.9378599882125854,0.0015420682255421004,17.348815536499025,0.48203150971726827
256,lambda,0.9380399942398071,0.0013538759548839476,17.497418212890626,0.3573091786488222
784,fixed,0.9233999967575073,0.0015443373750125462,4.334880256652832,0.12243074885594923
784,gated,0.9464599967002869,0.0020440180336805227,19.019237518310547,0.7275073138082603
784,lambda,0.9479999899864197,0.0012883946728262416,19.16332550048828,0.2722767328156979
