alpha,accuracy,misclass_as_target
0.0,0.9746000170707703,0.1014999970793724
0.5,0.9607999920845032,0.10140000283718109
1.0,0.8838000297546387,0.12219999730587006
1.5,0.6568999886512756,0.21690000593662262
2.0,0.4205000102519989,0.3465000092983246
3.0,0.1889999955892563,0.5123000144958496
5.0,0.09070000052452087,0.6818000078201294
